
2025/06/17 (16:12:30) | ===> btop++ v.1.2.7
2025/06/17 (16:12:30) | WARNING: Failed to join _runner thread on exit!

2025/06/18 (17:46:09) | ===> btop++ v.1.2.7
2025/06/18 (17:46:09) | WARNING: Failed to join _runner thread on exit!

2025/06/20 (15:59:12) | ===> btop++ v.1.2.7
2025/06/20 (15:59:12) | WARNING: Failed to join _runner thread on exit!

2025/06/20 (16:26:56) | ===> btop++ v.1.2.7
2025/06/20 (16:26:56) | WARNING: Failed to join _runner thread on exit!

2025/06/21 (17:01:59) | ===> btop++ v.1.2.7
2025/06/21 (17:01:59) | WARNING: Failed to join _runner thread on exit!

2025/06/22 (18:53:37) | ===> btop++ v.1.2.7
2025/06/22 (18:53:37) | WARNING: Failed to join _runner thread on exit!

2025/06/25 (17:17:47) | ===> btop++ v.1.2.7
2025/06/25 (17:17:47) | WARNING: Failed to join _runner thread on exit!

2025/06/27 (20:43:18) | ===> btop++ v.1.2.7
2025/06/27 (20:43:18) | WARNING: Failed to join _runner thread on exit!

2025/08/27 (17:57:23) | ===> btop++ v.1.2.7
2025/08/27 (17:57:23) | WARNING: Failed to join _runner thread on exit!

2025/08/28 (18:12:54) | ===> btop++ v.1.2.7
2025/08/28 (18:12:54) | WARNING: Failed to join _runner thread on exit!

2025/08/29 (16:59:45) | ===> btop++ v.1.2.7
2025/08/29 (16:59:45) | WARNING: Failed to join _runner thread on exit!

2025/09/05 (14:27:13) | ===> btop++ v.1.2.7
2025/09/05 (14:27:13) | WARNING: Failed to join _runner thread on exit!

2025/09/05 (18:57:04) | ===> btop++ v.1.2.7
2025/09/05 (18:57:04) | WARNING: Failed to join _runner thread on exit!

2025/09/11 (16:19:49) | ===> btop++ v.1.2.7
2025/09/11 (16:19:49) | WARNING: Failed to join _runner thread on exit!

2025/09/18 (13:51:42) | ===> btop++ v.1.2.7
2025/09/18 (13:51:42) | WARNING: Failed to join _runner thread on exit!

2025/09/18 (15:55:50) | ===> btop++ v.1.2.7
2025/09/18 (15:55:50) | WARNING: Failed to join _runner thread on exit!

2025/09/19 (11:07:21) | ===> btop++ v.1.2.7
2025/09/19 (11:07:21) | WARNING: Failed to join _runner thread on exit!
